"Product Name","Product Sale Price Shown","Product Url EN","Data at Date Time"
"ARGETA POLLO 95G",1.226,https://anamarket.uwbuurtwinkel.nl/product/en/argeta-pollo-95g_3838975566705,"2024-09-18 18:02:20"
"ARGETA PUTEN 95G",1.39,https://anamarket.uwbuurtwinkel.nl/product/en/argeta-puten-95g_3838975566521,"2024-09-18 18:02:20"
"ARGETA RAMADAN 95G",1.39,https://anamarket.uwbuurtwinkel.nl/product/en/argeta-ramadan-95g_3838471030953,"2024-09-18 18:02:20"
"ARGETA SARDINE TOMAAT 95G",1.39,https://anamarket.uwbuurtwinkel.nl/product/en/argeta-sardine-tomaat-95g_3838471035361,"2024-09-18 18:02:20"
"ARGETA TONIJNPASTA 95G",1.49,https://anamarket.uwbuurtwinkel.nl/product/en/argeta-tonijnpasta-95g_3838975566569,"2024-09-18 18:02:20"
"A ROYAL ORIENT SAMBAL OELEK 400GR",2.29,https://anamarket.uwbuurtwinkel.nl/product/en/a-royal-orient-sambal-oelek-400gr_8717677863174,"2024-09-18 18:02:20"
"AROY-D COCOS MELK 500ML",2.99,https://anamarket.uwbuurtwinkel.nl/product/en/aroy-d-cocos-melk-500ml_8851613101385,"2024-09-18 18:02:20"
"AROY-D KOKOSMELK 250ML",1.69,https://anamarket.uwbuurtwinkel.nl/product/en/aroy-d-kokosmelk-250ml_8851613101378,"2024-09-18 18:02:20"
"ARUBA MAIS MEEL 200G",0.99,https://anamarket.uwbuurtwinkel.nl/product/en/aruba-mais-meel-200g_5285002195427,"2024-09-18 18:02:20"
"ARUBA MANGO DRINK 750ML",2.49,https://anamarket.uwbuurtwinkel.nl/product/en/aruba-mango-drink-750ml_5285002190101,"2024-09-18 18:02:20"
"ARUBA STOUF MIX 500G",2.49,https://anamarket.uwbuurtwinkel.nl/product/en/aruba-stouf-mix-500g_5285002196059,"2024-09-18 18:02:20"
"ASHOKA BHINDI MASALA 280G",1.89,https://anamarket.uwbuurtwinkel.nl/product/en/ashoka-bhindi-masala-280g_8901552011747,"2024-09-18 18:02:20"
"ASHOKA BOMBAY BIRYANI 280G",1.89,https://anamarket.uwbuurtwinkel.nl/product/en/ashoka-bombay-biryani-280g_8901552011600,"2024-09-18 18:02:20"
"ASHOKA BOMBAY PAV BHAJI 280G",1.89,https://anamarket.uwbuurtwinkel.nl/product/en/ashoka-bombay-pav-bhaji-280g_8901552021456,"2024-09-18 18:02:20"
"ASHOKA CURRY LEAVES 100G",1.99,https://anamarket.uwbuurtwinkel.nl/product/en/ashoka-curry-leaves-100g_8901552022316,"2024-09-18 18:02:20"
"ASHOKA DAL TADKA 280G",1.89,https://anamarket.uwbuurtwinkel.nl/product/en/ashoka-dal-tadka-280g_8901552021470,"2024-09-18 18:02:20"
"ASHOKA GEMBER&KNOFLOOK 1KG",6.69,https://anamarket.uwbuurtwinkel.nl/product/en/ashoka-gember-knoflook-1kg_8901552021203,"2024-09-18 18:02:20"
"ASHOKA KNOFLOOK NAAN 340G",2.89,https://anamarket.uwbuurtwinkel.nl/product/en/ashoka-knoflook-naan-340g_8901552014281,"2024-09-18 18:02:20"
"ASHOKA SHAHI RAJMA 280G",1.89,https://anamarket.uwbuurtwinkel.nl/product/en/ashoka-shahi-rajma-280g_8901552005081,"2024-09-18 18:02:20"
"ASHOKA TANDOORI NAAN 5PCS",2.89,https://anamarket.uwbuurtwinkel.nl/product/en/ashoka-tandoori-naan-5pcs_8901552014274,"2024-09-18 18:02:20"
"ASIAN LIMOENBLAD 100G",2.39,https://anamarket.uwbuurtwinkel.nl/product/en/asian-limoenblad-100g_8717677864690,"2024-09-18 18:02:20"
"ASIMA COUSCOUS FIJN 1KG",3.19,https://anamarket.uwbuurtwinkel.nl/product/en/asima-couscous-fijn-1kg_8716047150012,"2024-09-18 18:02:20"
"ASIMA COUSCOUS MOYEN 1KG",3.19,https://anamarket.uwbuurtwinkel.nl/product/en/asima-couscous-moyen-1kg_8716047150029,"2024-09-18 18:02:20"
"ASIMA GRIESMEEL FIJN 900G",2.89,https://anamarket.uwbuurtwinkel.nl/product/en/asima-griesmeel-fijn-900g_8716047955037,"2024-09-18 18:02:20"
"ASIMA GRIESMEEL GROF 900G",2.89,https://anamarket.uwbuurtwinkel.nl/product/en/asima-griesmeel-grof-900g_8716047955044,"2024-09-18 18:02:20"
"ASLANAGA DIL PEYNIRI 200G",2.89,https://anamarket.uwbuurtwinkel.nl/product/en/aslanaga-dil-peyniri-200g_8682048002820,"2024-09-18 18:02:20"
"A TRADE KETCAP MANIS 500G",3.89,https://anamarket.uwbuurtwinkel.nl/product/en/a-trade-ketcap-manis-500g_8710161006026,"2024-09-18 18:02:20"
"A TRADE KETJAP MANIS 1LT",4.89,https://anamarket.uwbuurtwinkel.nl/product/en/a-trade-ketjap-manis-1lt_8710161004381,"2024-09-18 18:02:20"
