product_name,product_price,product_link,product_quantity
ETI POP KEK KAKAO,0.69,https://anamarket.uwbuurtwinkel.nl/product/en/eti-pop-kek-kakao-45g_8690526023755,45G
ETI POPKEK MARBLE CAKE,1.75,https://anamarket.uwbuurtwinkel.nl/product/en/eti-popkek-marble-cake-200g_8690526026626,200G
ETI POPKEK MEYVELI,1.09,https://anamarket.uwbuurtwinkel.nl/product/en/eti-popkek-meyveli-200g_8690533006611,200G
ETI POPKEK UZUM,1.09,https://anamarket.uwbuurtwinkel.nl/product/en/eti-popkek-uzum-200gr_8690533006635,200GR
ETI PUF AARDBEI 216G,1.59,https://anamarket.uwbuurtwinkel.nl/product/en/eti-puf-aardbei-216g-12x_8690526030241,12X
ETI PUF CACAO 12X,1.99,https://anamarket.uwbuurtwinkel.nl/product/en/eti-puf-cacao-12x-216g_8690526030234,216G
ETI PUF CHOCOLADE,0.39,https://anamarket.uwbuurtwinkel.nl/product/en/eti-puf-chocolade-18g_8690526060231,18G
ETI PUF COLOR,0.39,https://anamarket.uwbuurtwinkel.nl/product/en/eti-puf-color-18g_8690526060255,18G
ETI PUF KLEUR 216G,1.99,https://anamarket.uwbuurtwinkel.nl/product/en/eti-puf-kleur-216g-12x_8690526030258,12X
ETI PUF KOKOS,0.39,https://anamarket.uwbuurtwinkel.nl/product/en/eti-puf-kokos-16g_86911030,16G
ETI SESAM STENGEL,0.79,https://anamarket.uwbuurtwinkel.nl/product/en/eti-sesam-stengel-136g_8690533054063,136G
ETI TARTINI,1.89,https://anamarket.uwbuurtwinkel.nl/product/en/eti-tartini-171g_8690526092539,171G
ETI TEA BISCUITS,2.49,https://anamarket.uwbuurtwinkel.nl/product/en/eti-tea-biscuits-400g_8690526070285,400G
ETI TEA BISCUITS KAKAO,2.49,https://anamarket.uwbuurtwinkel.nl/product/en/eti-tea-biscuits-kakao-400g_8690526060293,400G
ETI THEE BISCUIT,4.69,https://anamarket.uwbuurtwinkel.nl/product/en/eti-thee-biscuit-1000g_8690526080284,1000G
ETI TOPKEK CILEKLI,1.59,https://anamarket.uwbuurtwinkel.nl/product/en/eti-topkek-cilekli-143g_8690526066271,143G
ETI TOPKEK FRUIT,0.69,https://anamarket.uwbuurtwinkel.nl/product/en/eti-topkek-fruit-40g_8690526016122,40G
ETI TOPKEK HAZEL CACAO,0.69,https://anamarket.uwbuurtwinkel.nl/product/en/eti-topkek-hazel-cacao-35g_8690526016139,35G
ETI TOPKEK LIMONLU,1.59,https://anamarket.uwbuurtwinkel.nl/product/en/eti-topkek-limonlu-143g_8690526066264,143G
ETI TUTKU,1.89,https://anamarket.uwbuurtwinkel.nl/product/en/eti-tutku-162g_8690526010342,162G
ETI TUTKU,1.29,https://anamarket.uwbuurtwinkel.nl/product/en/eti-tutku-90g_8690526520346,90G
ETI TUTKU MEYHOS,0.69,https://anamarket.uwbuurtwinkel.nl/product/en/eti-tutku-meyhos-100g_8690526013305,100G
ETI TWO TO ONE,1.19,https://anamarket.uwbuurtwinkel.nl/product/en/eti-two-to-one-pop_8410576001530,POP
ETI TWO TO ONE,1.19,https://anamarket.uwbuurtwinkel.nl/product/en/eti-two-to-one-tropical_8410576008737,TROPICAL
ETI TWO TO ONE,1.19,https://anamarket.uwbuurtwinkel.nl/product/en/eti-two-to-one-twister_8410576005637,TWISTER
ETI WANTED,2.19,https://anamarket.uwbuurtwinkel.nl/product/en/eti-wanted-126g_8690526057279,126G
ETI WANTED,1.99,https://anamarket.uwbuurtwinkel.nl/product/en/eti-wanted-126g_8690526057552,126G
EUROCREM CHOCOPASTA,2.89,https://anamarket.uwbuurtwinkel.nl/product/en/eurocrem-chocopasta-300g_8601900503558,300G
EUROCREM DUO PACK,2.49,https://anamarket.uwbuurtwinkel.nl/product/en/eurocrem-duo-pack-250g_8600946443002,250G
EVRA FISH FILETY,1.19,https://anamarket.uwbuurtwinkel.nl/product/en/evra-fish-filety-170g_5908241636529,170G
EZGI MUZLU GOFRET,1.99,https://anamarket.uwbuurtwinkel.nl/product/en/ezgi-muzlu-gofret-450g_8693175002041,450G
EZGI VANILYALI GOFRET,1.99,https://anamarket.uwbuurtwinkel.nl/product/en/ezgi-vanilyali-gofret-450g_8693175002003,450G
FAJALOBI CHIKEN JAVAAN TRAFASIE,2.99,https://anamarket.uwbuurtwinkel.nl/product/en/fajalobi-chiken-javaan-trafasie-360g_8712631995021,360G
FAJALOBI FA CHANG TRAFASIE,3.49,https://anamarket.uwbuurtwinkel.nl/product/en/fajalobi-fa-chang-trafasie-360g_8712631818696,360G
FAJA LOBI KIP MASALA TRAFASIE,3.49,https://anamarket.uwbuurtwinkel.nl/product/en/faja-lobi-kip-masala-trafasie-360ml_8712631010250,360ML
FAJALOBI LOSIE FOROE TRAFASIE,3.49,https://anamarket.uwbuurtwinkel.nl/product/en/fajalobi-losie-foroe-trafasie-360g_8712631008905,360G
FAJALOBI MAKSIE ALESIE TRAFASIE,2.99,https://anamarket.uwbuurtwinkel.nl/product/en/fajalobi-maksie-alesie-trafasie-360g_8712631817569,360G
FAJALOBI MAKSI TRAFASIE,3.49,https://anamarket.uwbuurtwinkel.nl/product/en/fajalobi-maksi-trafasie-360g_8712631816746,360G
FAJALOBI MOKSIE METIE TRAFASI,3.49,https://anamarket.uwbuurtwinkel.nl/product/en/fajalobi-moksie-metie-trafasi-360g_8712631009049,360G
FAJA LOBI NASI TRAFASIE,3.49,https://anamarket.uwbuurtwinkel.nl/product/en/faja-lobi-nasi-trafasie-360ml_8712631822594,360ML
FAJA LOBI PINDAKAAS,3.89,https://anamarket.uwbuurtwinkel.nl/product/en/faja-lobi-pindakaas-350g_8718868145369,350G
FAJALOBI ROAST RED PORK,3.49,https://anamarket.uwbuurtwinkel.nl/product/en/fajalobi-roast-red-pork-360g_8712631009094,360G
FAJA LOBI ROTI MASALA,3.25,https://anamarket.uwbuurtwinkel.nl/product/en/faja-lobi-roti-masala-360g_8712631822204,360G
FAJALOBI ROTI MASALA,3.49,https://anamarket.uwbuurtwinkel.nl/product/en/fajalobi-roti-masala-360g_8712631821955,360G
FAJA LOBI SAOTO TRAF,3.49,https://anamarket.uwbuurtwinkel.nl/product/en/faja-lobi-saoto-traf-360ml_8712631998480,360ML
FAJA LOBI SATE TRAFESIE,3.49,https://anamarket.uwbuurtwinkel.nl/product/en/faja-lobi-sate-trafesie-330ml_8712631819303,330ML
FAJALOBI SNESIE FOROE TRAFASIE,3.49,https://anamarket.uwbuurtwinkel.nl/product/en/fajalobi-snesie-foroe-trafasie-360g_8712631009056,360G
FAJALOBI SURINAM,2.99,https://anamarket.uwbuurtwinkel.nl/product/en/fajalobi-surinam-360ml_8712631009193,360ML
FAJA LOBI TRASSIE,2.49,https://anamarket.uwbuurtwinkel.nl/product/en/faja-lobi-trassie-50g_87312133,50G
FALIM CILEK,0.49,https://anamarket.uwbuurtwinkel.nl/product/en/falim-cilek-7g_8690524055536,7G
FALIM DAMLA SAKIZ,0.49,https://anamarket.uwbuurtwinkel.nl/product/en/falim-damla-sakiz-7g_8690524055031,7G
FALIM DAMLA SAKIZI,3.99,https://anamarket.uwbuurtwinkel.nl/product/en/falim-damla-sakizi-paket_8690524050821,PAKET
FALIM KARBONAT,2.99,https://anamarket.uwbuurtwinkel.nl/product/en/falim-karbonat-nane_7622210008206,NANE
FALIM KARISIK,2.99,https://anamarket.uwbuurtwinkel.nl/product/en/falim-karisik-meyve_7622210008169,MEYVE
FALIM KARISIK MEYVE,4,https://anamarket.uwbuurtwinkel.nl/product/en/falim-karisik-meyve-20x5_8690524055628,20X5
FALIM MELISA,0.1,https://anamarket.uwbuurtwinkel.nl/product/en/falim-melisa-2g_25000030,2G
FALIM MEYVE AROMA,0.49,https://anamarket.uwbuurtwinkel.nl/product/en/falim-meyve-aroma-7g_8690524055635,7G
FALIM NANE,0.49,https://anamarket.uwbuurtwinkel.nl/product/en/falim-nane-7g_8690524155335,7G
FALIM NANE AROMALI,0.49,https://anamarket.uwbuurtwinkel.nl/product/en/falim-nane-aromali-7g_8690524055130,7G
FALIM ORMAN MEYVELI,3.99,https://anamarket.uwbuurtwinkel.nl/product/en/falim-orman-meyveli-20st_8690524000239,20ST
FALIM ORMAN MEYVELI,0.49,https://anamarket.uwbuurtwinkel.nl/product/en/falim-orman-meyveli-7g_8690524000246,7G
FALIM PAK DAMLA SAKIZ,3.99,https://anamarket.uwbuurtwinkel.nl/product/en/falim-pak-damla-sakiz-5li_8690524055024,5LI
FAN GOGI HOT &SPICY,0.99,https://anamarket.uwbuurtwinkel.nl/product/en/fan-gogi-hot-spicy-100g_8858671550018,100G
FANTA,1.99,https://anamarket.uwbuurtwinkel.nl/product/en/fanta-1-5l_5000112547849,"1,5L"
FANTA ORANGE,0.59,https://anamarket.uwbuurtwinkel.nl/product/en/fanta-orange-330ml_5449000011527,330ML
FARMET KLEEFRIJSTMEEL,1.29,https://anamarket.uwbuurtwinkel.nl/product/en/farmet-kleefrijstmeel-400g_8850521151215,400G
FAWAKA BAKKELJAUW FILET,9.79,https://anamarket.uwbuurtwinkel.nl/product/en/fawaka-bakkeljauw-filet-1kg_8718481571699,1KG
FB CASSAVE SIROOP,1.49,https://anamarket.uwbuurtwinkel.nl/product/en/fb-cassave-siroop-250ml_8710161014212,250ML
FB CITROENGRASPUREE,2.29,https://anamarket.uwbuurtwinkel.nl/product/en/fb-citroengraspuree-100g_8710161009355,100G
FB GEBAKKEN UITJES,4.89,https://anamarket.uwbuurtwinkel.nl/product/en/fb-gebakken-uitjes-500g_8710161000192,500G
FB GEKRUIDE KETJAP ZOET,2.49,https://anamarket.uwbuurtwinkel.nl/product/en/fb-gekruide-ketjap-zoet-500ml_8710161006071,500ML
FB GEMBERPUREE,1.49,https://anamarket.uwbuurtwinkel.nl/product/en/fb-gemberpuree-230g_8710161003124,230G
FB GEMBERSIROOP,2.89,https://anamarket.uwbuurtwinkel.nl/product/en/fb-gembersiroop-500ml_8710161003339,500ML
FB GULA DJAWA,1.89,https://anamarket.uwbuurtwinkel.nl/product/en/fb-gula-djawa-250g_8710161001120,250G
FB GULA KELAPA,1.49,https://anamarket.uwbuurtwinkel.nl/product/en/fb-gula-kelapa-250g_8710161113045,250G
FB KANEELSTOKJES,4.99,https://anamarket.uwbuurtwinkel.nl/product/en/fb-kaneelstokjes-500g_8710161002356,500G
FB KETJAP GEKRUID PITTIG,2.49,https://anamarket.uwbuurtwinkel.nl/product/en/fb-ketjap-gekruid-pittig-500ml_8710161006088,500ML
FB KETJAP MARINADE,4.89,https://anamarket.uwbuurtwinkel.nl/product/en/fb-ketjap-marinade-1lt_8710161004701,1LT
FB KETJAP MARINADE,3.49,https://anamarket.uwbuurtwinkel.nl/product/en/fb-ketjap-marinade-500ml_8710161004718,500ML
FB KLEEFRIJST MEEL,1.99,https://anamarket.uwbuurtwinkel.nl/product/en/fb-kleefrijst-meel-500g_8710161002806,500G
"FB KNOFLOOK,GEMBERPASTA",2.29,https://anamarket.uwbuurtwinkel.nl/product/en/fb-knoflook-gemberpasta-200g_8710161009232,200G
FB KNOFLOOK PASTA,1.49,https://anamarket.uwbuurtwinkel.nl/product/en/fb-knoflook-pasta-100g_8710161009218,100G
FB KNOFLOOK PASTA,2.49,https://anamarket.uwbuurtwinkel.nl/product/en/fb-knoflook-pasta-200g_8710161009225,200G
FB KORIANDERPUREE,1.99,https://anamarket.uwbuurtwinkel.nl/product/en/fb-korianderpuree-100g_8710161009362,100G
FB LOEMPIA SAUS,1.39,https://anamarket.uwbuurtwinkel.nl/product/en/fb-loempia-saus-220ml_8710161004268,220ML
FB MADAM JEANETTE,2.99,https://anamarket.uwbuurtwinkel.nl/product/en/fb-madam-jeanette-200g_8710161010603,200G
FB MADAM JEANETTE GEEL,3.49,https://anamarket.uwbuurtwinkel.nl/product/en/fb-madam-jeanette-geel-200g_8710161010627,200G
FB PALM SUIKER,2.29,https://anamarket.uwbuurtwinkel.nl/product/en/fb-palm-suiker-250g_8710161003377,250G
FB PALMSUIKER SIROOP,1.89,https://anamarket.uwbuurtwinkel.nl/product/en/fb-palmsuiker-siroop-220ml_8710161112017,220ML
FB PEPER GROEN DIEP.,3.89,https://anamarket.uwbuurtwinkel.nl/product/en/fb-peper-groen-diep-200g_8710161101110,200G
FB PINDASAUS,1.432,https://anamarket.uwbuurtwinkel.nl/product/en/fb-pindasaus-325g_8710161004817,325G
FB RIJST MEEL,1.99,https://anamarket.uwbuurtwinkel.nl/product/en/fb-rijst-meel-500g_8710161002790,500G
FB RODE PEPER DIEP.,3.89,https://anamarket.uwbuurtwinkel.nl/product/en/fb-rode-peper-diep-200g_8710161101127,200G
FB SAMBAL BADJAK,2.49,https://anamarket.uwbuurtwinkel.nl/product/en/fb-sambal-badjak-375g_8710161010023,375G
FB SAMBAL BADJAK HOT,2.49,https://anamarket.uwbuurtwinkel.nl/product/en/fb-sambal-badjak-hot-375g_8710161010061,375G
FB SAMBAL BRANDAL,1.59,https://anamarket.uwbuurtwinkel.nl/product/en/fb-sambal-brandal-200g_8710161010092,200G
FB SAMBAL BRANDAL,2.19,https://anamarket.uwbuurtwinkel.nl/product/en/fb-sambal-brandal-375g_8710161010108,375G
FB SAMBAL JALAPENO GROEN,2.49,https://anamarket.uwbuurtwinkel.nl/product/en/fb-sambal-jalapeno-groen-200g_8710161010757,200G
FB SAMBAL JALAPENO ROOD,1.99,https://anamarket.uwbuurtwinkel.nl/product/en/fb-sambal-jalapeno-rood-200g_8710161010764,200G
FB SAMBAL MANIS,2.29,https://anamarket.uwbuurtwinkel.nl/product/en/fb-sambal-manis-375g_8710161010146,375G
FB SAMBAL OELEK,1.69,https://anamarket.uwbuurtwinkel.nl/product/en/fb-sambal-oelek-375g_8710161004244,375G
FB SAMBAL TRASSI,1.49,https://anamarket.uwbuurtwinkel.nl/product/en/fb-sambal-trassi-200g_8710161010252,200G
FB SOJASAUS,2.29,https://anamarket.uwbuurtwinkel.nl/product/en/fb-sojasaus-500ml_8710161004688,500ML
FB SOJASAUS YELLOW,3.49,https://anamarket.uwbuurtwinkel.nl/product/en/fb-sojasaus-yellow-500ml_8710161006033,500ML
FB SOPROPO HEEL,2.99,https://anamarket.uwbuurtwinkel.nl/product/en/fb-sopropo-heel-500g_8710161035071,500G
FB SWEETCHILI SAUCE,3.89,https://anamarket.uwbuurtwinkel.nl/product/en/fb-sweetchili-sauce-700g_8710161000703,700G
FB SWEET CHILLI SAUS,1.49,https://anamarket.uwbuurtwinkel.nl/product/en/fb-sweet-chilli-saus-280ml_8710161070027,280ML
FB TAMARINDE PASTA,2.59,https://anamarket.uwbuurtwinkel.nl/product/en/fb-tamarinde-pasta-200g_8710161009270,200G
FB TAMARINDE ZONDER PIT,2.99,https://anamarket.uwbuurtwinkel.nl/product/en/fb-tamarinde-zonder-pit-227g_8710161000079,227G
FB TAPIOCAZETMEEL,1.99,https://anamarket.uwbuurtwinkel.nl/product/en/fb-tapiocazetmeel-500g_8710161002813,500G
FB TRASSIE BAKAR,0.89,https://anamarket.uwbuurtwinkel.nl/product/en/fb-trassie-bakar-25g_8710161005555,25G
FB TRASSIE RAUW,2.49,https://anamarket.uwbuurtwinkel.nl/product/en/fb-trassie-rauw-250g_8710161005548,250G
FB TRASSIE RAUW,4.99,https://anamarket.uwbuurtwinkel.nl/product/en/fb-trassie-rauw-500g_8710161005593,500G
FB YELLOW SOJASAUS,5.19,https://anamarket.uwbuurtwinkel.nl/product/en/fb-yellow-sojasaus-900ml_8710161004626,900ML
FINDIK GIRESUN,12.89,https://anamarket.uwbuurtwinkel.nl/product/en/findik-giresun-1kg_25006131,1KG
FLESPOMPOEN,2.29,https://anamarket.uwbuurtwinkel.nl/product/en/flespompoen-p-st_25003437,P/ST
FLOWER BRAND KETJAP MANIS,2.49,https://anamarket.uwbuurtwinkel.nl/product/en/flower-brand-ketjap-manis-500ml_8710161008815,500ML
FOCO MANGO,1.29,https://anamarket.uwbuurtwinkel.nl/product/en/foco-mango-350ml_016229901172,350ML
FOUFFOU CASSAVE FLOUR,1.89,https://anamarket.uwbuurtwinkel.nl/product/en/fouffou-cassave-flour-500g_3700019522520,500G
FULYA KALKOEN EN RUND SALAM,2.99,https://anamarket.uwbuurtwinkel.nl/product/en/fulya-kalkoen-en-rund-salam-150g_4027394071900,150G
FULYA KALKOEN WORST,2.19,https://anamarket.uwbuurtwinkel.nl/product/en/fulya-kalkoen-worst-400g_4027394072709,400G
FULYA KIPPENWORST,2.49,https://anamarket.uwbuurtwinkel.nl/product/en/fulya-kippenworst-200g_4027394007022,200G
FULYA KIPPENWORST HEET,2.49,https://anamarket.uwbuurtwinkel.nl/product/en/fulya-kippenworst-heet-200g_4027394007039,200G
FULYA KIPPENWORST PAPRIKA,2.49,https://anamarket.uwbuurtwinkel.nl/product/en/fulya-kippenworst-paprika-200g_4027394007145,200G
FULYA TAVUK SALAM CESNILI,2.49,https://anamarket.uwbuurtwinkel.nl/product/en/fulya-tavuk-salam-cesnili-200g_4027394007206,200G
FURKAN BAL CAM BAL,3.29,https://anamarket.uwbuurtwinkel.nl/product/en/furkan-bal-cam-bal-280g_8682631803896,280G
FURKAN BAL CAM BAL,4.49,https://anamarket.uwbuurtwinkel.nl/product/en/furkan-bal-cam-bal-400g_8682631803919,400G
FURKAN BAL KASTANJE HONING,5.99,https://anamarket.uwbuurtwinkel.nl/product/en/furkan-bal-kastanje-honing-350g_4260468229702,350G
FURKAN BAL NOTEN MIX,5.29,https://anamarket.uwbuurtwinkel.nl/product/en/furkan-bal-noten-mix-400g_8682631803933,400G
FURKAN BAL ORMAN BAL,3.49,https://anamarket.uwbuurtwinkel.nl/product/en/furkan-bal-orman-bal-250g_4260468222512,250G
FURKAN BAL PETEK BAL,9.49,https://anamarket.uwbuurtwinkel.nl/product/en/furkan-bal-petek-bal-750g_8682631805418,750G
FURKAN KARAKOVAN,6.39,https://anamarket.uwbuurtwinkel.nl/product/en/furkan-karakovan-400g_4260468220983,400G
FURKAN PETEKLI BAL,3.99,https://anamarket.uwbuurtwinkel.nl/product/en/furkan-petekli-bal-250g_4260468220020,250G
FURKAN PETEKLI BAL,5.49,https://anamarket.uwbuurtwinkel.nl/product/en/furkan-petekli-bal-400g_4260468221003,400G
GALA KNOFLOOKSAUS,3.29,https://anamarket.uwbuurtwinkel.nl/product/en/gala-knoflooksaus-500ml_8710819003391,500ML
GALA KNOFLOOK SPAANS,2.99,https://anamarket.uwbuurtwinkel.nl/product/en/gala-knoflook-spaans-500ml_8710819003353,500ML
GAZI GEITENKAAS %50,8.49,https://anamarket.uwbuurtwinkel.nl/product/en/gazi-geitenkaas-50-400g_4002566006348,400G
GAZI GEITENKAAS 50%,14.89,https://anamarket.uwbuurtwinkel.nl/product/en/gazi-geitenkaas-50-800g_4002566006331,800G
GAZI ROOM KREM KAYMAK,1.99,https://anamarket.uwbuurtwinkel.nl/product/en/gazi-room-krem-kaymak-200g_4002566004429,200G
GAZI SCHAAPEKAAS,7.49,https://anamarket.uwbuurtwinkel.nl/product/en/gazi-schaapekaas-400g_4002566006362,400G
GAZI SCHAPEKAAS,13.49,https://anamarket.uwbuurtwinkel.nl/product/en/gazi-schapekaas-800g_4002566006355,800G
GAZOZA LIMONADE,1.79,https://anamarket.uwbuurtwinkel.nl/product/en/gazoza-limonade-1-75l_5310043000307,"1,75L"
GELE,3.89,https://anamarket.uwbuurtwinkel.nl/product/en/gele-bakbananen_25003284,BAKBANANEN
GEMBER,8.89,https://anamarket.uwbuurtwinkel.nl/product/en/gember-p-kg_25000429,P/KG
GEMENGD GEHAKT,7.99,https://anamarket.uwbuurtwinkel.nl/product/en/gemengd-gehakt-p-kg_8030,P/KG
GEPELDE PISTACHE,27.99,https://anamarket.uwbuurtwinkel.nl/product/en/gepelde-pistache-p-kg_25005332,P/KG
GEROOKTE VIS KUPILA,13.99,https://anamarket.uwbuurtwinkel.nl/product/en/gerookte-vis-kupila-p-kg_25004427,P/KG
GHANA FRESH PALMNUT,3.69,https://anamarket.uwbuurtwinkel.nl/product/en/ghana-fresh-palmnut-800g_647458021050,800G
GHORMEH,5.89,https://anamarket.uwbuurtwinkel.nl/product/en/ghormeh-400g_6260560100365,400G
GINGERBON GEMBER,1.79,https://anamarket.uwbuurtwinkel.nl/product/en/gingerbon-gember-125g_8991002202719,125G
GIOTTO CHOCO REEP,1.09,https://anamarket.uwbuurtwinkel.nl/product/en/giotto-choco-reep-38-7g_4008400121925,"38,7G"
GITS GULAB JAMUN,2.89,https://anamarket.uwbuurtwinkel.nl/product/en/gits-gulab-jamun-200g_8901155101210,200G
GOLDEN CASAVA,1.39,https://anamarket.uwbuurtwinkel.nl/product/en/golden-casava-400gr_7441159300284,400GR
#VALUE!,0.85,https://anamarket.uwbuurtwinkel.nl/product/en/goldenpower_42010234,GOLDENPOWER
GRACE COCONUT MILK,2.39,https://anamarket.uwbuurtwinkel.nl/product/en/grace-coconut-milk-400g_5035139210216,400G
GRACE COCOS MELK,1.89,https://anamarket.uwbuurtwinkel.nl/product/en/grace-cocos-melk-400ml_5035139217604,400ML
GRAND KAFA GOLD,6.99,https://anamarket.uwbuurtwinkel.nl/product/en/grand-kafa-gold-500g_8600103056250,500G
GRANNY SMITH,1.99,https://anamarket.uwbuurtwinkel.nl/product/en/granny-smith-appel_25000375,APPEL
GROENE,3.89,https://anamarket.uwbuurtwinkel.nl/product/en/groene-bakbananen_25003185,BAKBANANEN
GROENE PAPRIKA,3.89,https://anamarket.uwbuurtwinkel.nl/product/en/groene-paprika-p-kg_25001594,P/KG
GROENE PUNTPAPRIKA,2.49,https://anamarket.uwbuurtwinkel.nl/product/en/groene-puntpaprika_25002461,
GROENE PUNTPAPRIKA,3.89,https://anamarket.uwbuurtwinkel.nl/product/en/groene-puntpaprika-p-kg_25002454,P/KG
GULCAN WITTE KAAS 55%,8.69,https://anamarket.uwbuurtwinkel.nl/product/en/gulcan-witte-kaas-55-800g_5706792151214,800G
GULCAN WITTE KAAS 60%,8.69,https://anamarket.uwbuurtwinkel.nl/product/en/gulcan-witte-kaas-60-800g_5706792105620,800G
HALDIRAMS GULAB JAMUN,6.99,https://anamarket.uwbuurtwinkel.nl/product/en/haldirams-gulab-jamun-1kg_5060601190017,1KG
HALDIRAM'S RASGULLA,3.49,https://anamarket.uwbuurtwinkel.nl/product/en/haldiram-s-rasgulla-500gr_5060601190062,500GR
HALK AARDBEI KREMALI,4.29,https://anamarket.uwbuurtwinkel.nl/product/en/halk-aardbei-kremali-10x_8690766688875,10X
HALK BANAAN KREMALI,4.29,https://anamarket.uwbuurtwinkel.nl/product/en/halk-banaan-kremali-10x_8690766688981,10X
HALK CACAO KREMALI,4.29,https://anamarket.uwbuurtwinkel.nl/product/en/halk-cacao-kremali-10x_8690766688370,10X
HALK DUBLE GOFRET CACAO,4.29,https://anamarket.uwbuurtwinkel.nl/product/en/halk-duble-gofret-cacao-500g_8690766688172,500G
HALK GOFRET AARDBEI,4.29,https://anamarket.uwbuurtwinkel.nl/product/en/halk-gofret-aardbei-500g_8690766688127,500G
HALK GOFRET BANAAN,4.29,https://anamarket.uwbuurtwinkel.nl/product/en/halk-gofret-banaan-500g_8690766688189,500G
HALK GOFRET VANILYA,2.19,https://anamarket.uwbuurtwinkel.nl/product/en/halk-gofret-vanilya-500g_8690766688196,500G
HALK PETITE KOEKJES,1.49,https://anamarket.uwbuurtwinkel.nl/product/en/halk-petite-koekjes-5pack_8698509285008,5PACK
HALK VANILLE KREMALI,4.29,https://anamarket.uwbuurtwinkel.nl/product/en/halk-vanille-kremali-10x_8690766688790,10X
HANA PILIC SALAM,2.29,https://anamarket.uwbuurtwinkel.nl/product/en/hana-pilic-salam-340g_4260495870311,340G
HANA RUND SALAM PITTIG,4.89,https://anamarket.uwbuurtwinkel.nl/product/en/hana-rund-salam-pittig-830g_4260495870809,830G
HANIMELLER CHOCO,2.29,https://anamarket.uwbuurtwinkel.nl/product/en/hanimeller-choco-3x_8690504119012,3X
HAPPY BELLY WONTON VEL,2.29,https://anamarket.uwbuurtwinkel.nl/product/en/happy-belly-wonton-vel-300g_8888003090301,300G
HAPPY COW SMEERKAAS,3.89,https://anamarket.uwbuurtwinkel.nl/product/en/happy-cow-smeerkaas-340g_9066085415178,340G
HARIBO AARDBEI,1.19,https://anamarket.uwbuurtwinkel.nl/product/en/haribo-aardbei-80g_8691216020795,80G
HARIBO BEER,1.19,https://anamarket.uwbuurtwinkel.nl/product/en/haribo-beer-100g_8691216020771,100G
HARIBO BERRIES,0.99,https://anamarket.uwbuurtwinkel.nl/product/en/haribo-berries-80g_8691216019768,80G
HARIBO COLA,1.19,https://anamarket.uwbuurtwinkel.nl/product/en/haribo-cola-100g_8691216020719,100G
HARIBO CROCO,1.19,https://anamarket.uwbuurtwinkel.nl/product/en/haribo-croco-100g_8691216018211,100G
HARIBO FUNNY MIX,1.19,https://anamarket.uwbuurtwinkel.nl/product/en/haribo-funny-mix-75g_8426617173319,75G
HARIBO GOLDBEAR,0.99,https://anamarket.uwbuurtwinkel.nl/product/en/haribo-goldbear-80g_8691216020627,80G
HARIBO HAPPY COLA,1.19,https://anamarket.uwbuurtwinkel.nl/product/en/haribo-happy-cola-100g_8691216020818,100G
HARIBO KERSEN,1.19,https://anamarket.uwbuurtwinkel.nl/product/en/haribo-kersen-80g_8691216020757,80G
HARIBO MARSHMALLOWS,1.19,https://anamarket.uwbuurtwinkel.nl/product/en/haribo-marshmallows-70g_8691216014909,70G
HARIBO PERZIK,1.19,https://anamarket.uwbuurtwinkel.nl/product/en/haribo-perzik-100g_8691216020856,100G
HARIBO PHANTASIA,1.19,https://anamarket.uwbuurtwinkel.nl/product/en/haribo-phantasia-100g_8691216018181,100G
HARIBO SMURFEN,1.19,https://anamarket.uwbuurtwinkel.nl/product/en/haribo-smurfen-75g_4001686332221,75G
HARIBO SMURFEN,0.99,https://anamarket.uwbuurtwinkel.nl/product/en/haribo-smurfen-80g_8691216090972,80G
HARIBO STARMIX,1.19,https://anamarket.uwbuurtwinkel.nl/product/en/haribo-starmix-80g_8691216082786,80G
HARIBO STARMIX,0.99,https://anamarket.uwbuurtwinkel.nl/product/en/haribo-starmix-80g_8691216022027,80G
HARIBO TROPIK MEYVE,1.19,https://anamarket.uwbuurtwinkel.nl/product/en/haribo-tropik-meyve-80g_8691216020733,80G
HARIBO WATERMELOEN,1.19,https://anamarket.uwbuurtwinkel.nl/product/en/haribo-watermeloen-80g_8691216082250,80G
HARIBO WORMEN,0.99,https://anamarket.uwbuurtwinkel.nl/product/en/haribo-wormen-80g_8691216020689,80G
HARIBO WORMS,1.19,https://anamarket.uwbuurtwinkel.nl/product/en/haribo-worms-100g_8691216020832,100G
HARISSA,0.99,https://anamarket.uwbuurtwinkel.nl/product/en/harissa-135g_6194049100013,135G
HARISSA,1.89,https://anamarket.uwbuurtwinkel.nl/product/en/harissa-380g_6194049100020,380G
HARISSA DU CAP BON,0.79,https://anamarket.uwbuurtwinkel.nl/product/en/harissa-du-cap-bon-135g_6194017302012,135G
HARUKA SUSHI RIJST,4.89,https://anamarket.uwbuurtwinkel.nl/product/en/haruka-sushi-rijst-1kg_4006599000724,1KG
HASEEB KOFFIE GROEN,2.89,https://anamarket.uwbuurtwinkel.nl/product/en/haseeb-koffie-groen-200g_6210331047030,200G
HASEEB KOFFIE ZWART,2.89,https://anamarket.uwbuurtwinkel.nl/product/en/haseeb-koffie-zwart-200g_6210331017033,200G
HASTEL MANTI,3.49,https://anamarket.uwbuurtwinkel.nl/product/en/hastel-manti-1kg_8691837010014,1KG
HATHIE CASSAVE,3.89,https://anamarket.uwbuurtwinkel.nl/product/en/hathie-cassave-1kg_7441159300116,1KG
